start_station_name,date,hour,trip_count,PRCP,SNOW,TAVG,extreme_weather,event_Basketball,event_Comedy,event_Concert,event_Fair,event_Hockey,day_of_week,is_weekend,week_of_year,month
Central Square at Mass Ave / Essex St,2024-01-01,0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,1,7.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,2,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,3,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,4,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,5,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,6,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,7,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,8,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,9,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,10,3.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,11,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,12,4.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,13,2.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,14,2.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,15,9.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,16,6.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,17,12.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,18,8.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,19,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-01,20,3.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,1,January
