Jan 8th,Madonna,event_type
Jan 9th,Madonna,Concert
Jan 12nd,Travis Scott,Concert
Feb 1st,Celtic vs Lakers,Basketball
Mar 12th,Hiring Fair ,Fair
Mar 28th,NCAA Championship,Basketball
Mar 30th,NCAA Championship,Basketball
Apr 1st,Olivia Rodrigo,Concert
Apr 2nd,Olivia Rodrigo,Concert
Apr 8th,Nicki Minaj,Concert
Apr 10th,Nicki Minaj,Concert
Apr 17th,Bad bunny,Concert
Apr 20th,"2024 NHL Playoffs: Bruins vs. Maple Leafs | Round 1, Home Game 1",Hockey
Apr 22nd,"2025 NHL Playoffs: Bruins vs. Maple Leafs | Round 1, Home Game 2",Hockey
Apr 30th,"2026 NHL Playoffs: Bruins vs. Maple Leafs | Round 1, Home Game 3",Hockey
May 4th,"2027 NHL Playoffs: Bruins vs. Maple Leafs | Round 1, Home Game 4",Hockey
Jun 6th,NBA Finals Homegame,Basketball
Jun 9th,NBA Finals Homegame,Basketball
Jun 17th,NBA Finals Homegame,Basketball
Jun 23th,NBA Finals Homegame,Basketball
Jun 29th,Justin Timberlake,Concert
Jun 30th,Justin Timberlake,Concert
Aug 27th,Usher,Concert
Aug 28th,Usher,Concert
Sep 28th,Charlie XCX and Troye Sivan,Concert
Oct 3rd,Sabrina Carpenter,Concert
Oct 11th,Billie Elllish,Concert
Oct 13th,Pre-season Celtics vs Raptors,Basketball
Nov 6th,Celtics vs Warriors,Basketball
Nov 9th,"Bruins vs. Senators
28th Annual Comics Come Home",Comedy
Dec 5th,Mariah Carey,Concert
