"STATION","NAME","DATE","PRCP","SNOW","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-01","0.00","0.0","34",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-02","0.00","0.0","31",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-03","0.00","0.0","36",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-04","0.00","0.0","39",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-05","0.00","0.0","27",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-06","0.09","0.0","33","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-07","0.95","3.8","33","    1","    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-08","0.00","0.0","29",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-09","0.65","0.0","32","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-10","1.82","0.0","48","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-11","0.00","0.0","43",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-12","0.00","0.0","41",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-13","1.44","0.0","47","    1",,,,,,"    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-14","0.00","0.0","38","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-15","0.00","0.0","28",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-16","0.56","3.5","29","    1",,,"    1",,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-17","0.00","0.0","24",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-18","0.00","0.0","22",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-19","0.00","0.0","26",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-20","0.00","0.4","18","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-21","0.00","0.0","18",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-22","0.00","0.0","26",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-23","0.01","0.1","37","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-24","0.45","0.9","35","    1",,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-25","0.22","0.0","44","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-26","0.78","0.0","39","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-27","0.00","0.0","37","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-28","0.58","0.2","36","    1",,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-29","0.09","0.1","34","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-30","0.00","0.0","30","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-01-31","0.00","0.0","29",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-02-01","0.00","0.0","37",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-02-02","0.07","0.0","40","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-02-03","0.00","0.0","35",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-02-04","0.00","0.0","32",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-02-05","0.00","0.0","33",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-02-06","0.00","0.0","33",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-02-07","0.00","0.0","33",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2024-02-08","0.00","0.0","35",,,,,,,
